año,conglome,vivienda,hogar,ubigeop,codperso,mhogar,sexo,edad,estciv,reljh,ocu500,ocupinf,emplpsec,htop,htos,gnestudios,fac500a,ubidpto,htsemps,hocios,salanual,salsem,dominio,estrato,pobreza,estrsocial,zona,inghogpc,gashogpc,inghogpcs,gashogpcs,ln_salsem,ln_inghogpcs,ln_gashogpcs
2021,8473,61,11,180101,2,1,1,30,1,2,1,2,NA,60,5,9,45.72459030151367,18,65,103,40676,780.0870300654548,3,3,3,5,Urbana,18864.74609375,11539.7412109375,361.78935375190105,221.30992351667246,6.659405490466379,5.891062146745774,5.399564087970625
2021,8473,90,11,180101,1,1,2,44,1,1,1,1,1,11,16,3,43.9603157043457,18,27,141,25024,479.9119343189581,3,3,3,5,Urbana,17197.924479166668,5136.844401041667,329.8229381021514,98.51474315854445,6.173602616900389,5.798555959259817,4.59020621371409
2021,8473,90,11,180101,2,1,1,42,1,2,1,1,1,36,14,8,47.94533920288086,18,50,118,21690,415.97226084471714,3,3,3,5,Urbana,17197.924479166668,5136.844401041667,329.8229381021514,98.51474315854445,6.030618577376272,5.798555959259817,4.59020621371409
2021,8484,86,11,180101,1,1,1,49,4,1,1,2,NA,48,2,10,38.39556884765625,18,50,118,84428.515625,1619.1756811569744,3,3,3,3,Urbana,100353.5234375,22130.0703125,1924.5865388672285,424.411958531267,7.389672459932048,7.562466438648245,6.050704583843479
2021,8485,4,11,180101,1,1,1,68,4,1,1,1,1,12,7,8,45.8283576965332,18,19,149,5275.331726074219,101.17066227759138,3,3,3,3,Urbana,29575.919921875,10794.365234375,567.2089569601039,207.01505352358615,4.616808816381916,6.340727766630793,5.332791512957393
2021,8486,1,11,180101,2,1,2,46,2,2,1,2,NA,45,10,8,36.666770935058594,18,55,113,49815.4921875,955.3648183645329,3,3,3,5,Urbana,18957.3984375,5494.081640625,363.56624655513986,105.36586267018137,6.862093276292635,5.895961526737745,4.657438700061029
2021,8486,32,11,180101,1,1,2,55,5,1,1,1,1,20,20,5,55.68201446533203,18,40,128,12990,249.1230829125346,3,3,3,5,Urbana,14521.496875,10640.20234375,278.49423171706985,204.05850736629532,5.517947083219997,5.62939734718541,5.318406753539898
2021,8486,49,11,180101,2,1,2,35,1,2,1,2,NA,48,1,8,52.65719985961914,18,49,119,28343.939453125,543.5819536912024,3,3,3,5,Urbana,22380.421875,8205.841796875,429.21321742749257,157.37217908622267,6.298180483954043,6.061953805779791,5.058613567414171
2021,8503,97,11,180101,1,1,2,43,5,1,1,1,2,39,12,8,2.037078380584717,18,51,117,14589,279.788811132484,3,3,3,2,Urbana,13913.404947916666,8921.71484375,266.8322043445352,171.10123993391238,5.634035072627247,5.58662001269613,5.142255427709484
2021,8509,18,11,180101,2,1,2,22,6,3,1,1,2,0,14,10,125.5124740600586,18,14,154,36852.8125,706.765686219984,3,3,3,4,Urbana,15036.6318359375,5645.9013671875,288.3735242178226,108.27747147142756,6.560699191191188,5.664256598900667,4.684697112713447
2021,8511,41,11,180101,1,1,1,32,5,1,1,2,NA,36,39,9,126.71489715576172,18,75,93,27756,532.3064118029492,3,3,3,4,Urbana,33896.0546875,14216.9716796875,650.0607884774341,272.65402729206664,6.277219285574791,6.4770658792514055,5.608203692185654
2021,8511,58,11,180101,1,1,2,43,1,1,1,1,1,24,18,4,121.82563018798828,18,42,126,77257,1481.6398781042099,3,3,3,4,Urbana,28795.28125,6642.59765625,552.2378166538493,127.39217911259252,7.300904779096794,6.31397878076914,4.847270352812527
2021,8511,58,11,180101,2,1,1,44,1,2,1,1,1,6,16,6,132.86917114257813,18,22,146,6055.4423828125,116.13167627447841,3,3,3,4,Urbana,28795.28125,6642.59765625,552.2378166538493,127.39217911259252,4.75472468761899,6.31397878076914,4.847270352812527
2021,8511,135,11,180101,1,1,2,49,5,1,1,1,2,36,16,8,96.68867492675781,18,52,116,31858.8671875,610.9914712741332,3,3,3,4,Urbana,21800.83984375,10469.1923828125,418.09795473113314,200.77886697541757,6.415083000439366,6.035715746533126,5.302204138132693
2021,8514,59,11,180101,2,1,2,53,2,2,1,1,1,54,5,4,115.7328872680664,18,59,109,6289,120.61085977189609,3,3,3,4,Urbana,10289.245442708334,4071.41015625,197.327832604407,78.0817744362128,4.792569328098855,5.284866470511867,4.357756667720236
2021,8516,8,11,180104,2,1,2,51,2,2,1,1,1,54,24,3,42.836605072021484,18,78,90,13080.546020507813,250.8595805087138,3,3,2,5,Urbana,9481.326171875,2572.62744140625,181.833503159107,49.338019968322634,5.524893342382398,5.203091450568505,3.898694979941743
2021,8517,11,11,180104,1,1,1,57,3,1,1,2,NA,46,15,8,130.09060668945313,18,61,107,40106.8154296875,769.1711705656476,3,3,3,4,Urbana,18758.063802083332,10196.082682291666,359.7433936755212,195.5411509964284,6.645313533248392,5.885390981944996,5.2757708483056165
2021,8540,28,11,180301,1,1,1,59,5,1,1,1,1,36,24,6,36.39197540283203,18,60,108,12418.95751953125,238.17159228833168,3,3,3,3,Urbana,8311.4091796875,5447.6142578125,159.39675736653504,104.4747081158221,5.472991389894526,5.07139642340475,4.648945014511671
2021,8541,54,11,180301,1,1,1,64,2,1,1,2,NA,48,4,6,3.8411006927490234,18,52,116,93121.4921875,1785.890163138222,3,3,3,2,Urbana,45738.625,17794.49375,877.1783886205026,341.2639832076851,7.487672260742528,6.77671037946471,5.8326563220924355
